VARIETY,WELY,FROS,NATIVE,GUAISA,FLVE,ROPR,ROSU,DIND,POTR,ALIA,ATTA,DYAN,NEVA,STRO
Rose Proud White 60cm,,,,,,,,,,,,,,
Rose Purple Haze Light Lavender 40cm,,,,,,,,,,,1000,,,
Rose Purple Haze Light Lavender 50cm,,,,,,400,,,,,600,,,
Rose Purple Haze Light Lavender 60cm,,,,,,400,,,100,,600,,,
Rose Purple Moon Mauve 50cm,,,,,200,,200,,,100,300,,,
Rose Purple Moon Mauve 60cm,,,,,200,,200,,,,300,,,
Rose Queen Berry Fuchsia 50cm,,,,,100,,,200,,,,,,
Rose Queen Berry Fuchsia 60cm,,,,,100,,,200,,,,,,
Rose Queens Crown Mauve 50cm,,,,,200,,,,,,,,,
Rose Queens Crown Mauve 60cm,,,,400,,,,,,,,,,
Rose Quicksand Beige 40cm,,,,,,,,,,,,,,
Rose Quicksand Beige 50cm,800,125,,,,,,,,,,,,
Rose Quicksand Beige 60cm,800,125,400,,,,,200,,,,,,
Rose Quicksand Beige 70cm,,,,,,,,,,,500,,,
Rose Rainbow Variegated 50 cm,,,,,,,,,,,,,,
Rose Rainbow Variegated 60 cm,,,,,,,,,,,,,,
Rose Razzmatazz Brown 40cm  ,,,200,,,,,,,,,,,
Rose Razzmatazz Brown 50cm  ,,,200,,,,,,,,,,,
Rose Red Panther Burgundy/Red 50cm,,,,,200,,,200,,,,400,,
Rose Red Panther Burgundy/Red 60cm,,,,,200,,,200,,,,400,,
